,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc0,0.88,0.08,0.02,0.02,0,0
Doc1,0.02,0.01,0.96,0.01,2,1
Doc2,0.22,0.01,0.75,0.01,2,2
Doc3,0.96,0.01,0.01,0.01,0,3
Doc4,0.96,0.01,0.01,0.01,0,4
Doc5,0.95,0.02,0.02,0.02,0,5
Doc6,0.95,0.02,0.02,0.02,0,6
Doc7,0.95,0.01,0.02,0.01,0,7
Doc8,0.01,0.01,0.96,0.01,2,8
Doc9,0.95,0.02,0.02,0.02,0,9
Doc10,0.01,0.01,0.96,0.01,2,10
Doc11,0.96,0.01,0.02,0.01,0,11
Doc12,0.02,0.02,0.95,0.02,2,12
Doc13,0.96,0.01,0.01,0.01,0,13
Doc14,0.02,0.01,0.96,0.01,2,14
Doc15,0.96,0.01,0.01,0.01,0,15
Doc16,0.38,0.02,0.59,0.02,2,16
Doc17,0.95,0.02,0.02,0.02,0,17
Doc18,0.96,0.01,0.01,0.01,0,18
Doc19,0.94,0.02,0.02,0.02,0,19
Doc20,0.96,0.01,0.01,0.01,0,20
Doc21,0.02,0.02,0.95,0.02,2,21
Doc22,0.01,0.01,0.96,0.01,2,22
Doc23,0.01,0.01,0.96,0.01,2,23
Doc24,0.01,0.01,0.96,0.01,2,24
Doc25,0.04,0.03,0.9,0.03,2,25
Doc26,0.02,0.02,0.95,0.02,2,26
Doc27,0.95,0.02,0.02,0.02,0,27
Doc28,0.95,0.02,0.02,0.02,0,28
Doc29,0.96,0.01,0.01,0.01,0,29
Doc30,0.95,0.02,0.02,0.02,0,30
Doc31,0.96,0.01,0.01,0.01,0,31
Doc32,0.18,0.02,0.78,0.02,2,32
Doc33,0.88,0.08,0.02,0.02,0,33
Doc34,0.94,0.02,0.02,0.02,0,34
Doc35,0.95,0.02,0.02,0.02,0,35
Doc36,0.95,0.02,0.02,0.02,0,36
Doc37,0.02,0.02,0.94,0.02,2,37
Doc38,0.95,0.02,0.02,0.02,0,38
Doc39,0.96,0.01,0.01,0.01,0,39
Doc40,0.02,0.02,0.95,0.02,2,40
Doc41,0.02,0.01,0.95,0.01,2,41
Doc42,0.32,0.01,0.65,0.01,2,42
Doc43,0.02,0.02,0.95,0.02,2,43
Doc44,0.94,0.02,0.02,0.02,0,44
Doc45,0.01,0.01,0.96,0.01,2,45
Doc46,0.02,0.02,0.94,0.02,2,46
Doc47,0.23,0.02,0.73,0.02,2,47
Doc48,0.01,0.01,0.96,0.01,2,48
Doc49,0.96,0.01,0.02,0.01,0,49
Doc50,0.95,0.01,0.02,0.01,0,50
Doc51,0.94,0.02,0.02,0.02,0,51
Doc52,0.02,0.02,0.95,0.02,2,52
Doc53,0.25,0.01,0.73,0.01,2,53
Doc54,0.95,0.02,0.02,0.02,0,54
Doc55,0.96,0.01,0.02,0.01,0,55
Doc56,0.95,0.02,0.02,0.02,0,56
Doc57,0.02,0.02,0.95,0.02,2,57
Doc58,0.02,0.01,0.96,0.01,2,58
Doc59,0.02,0.02,0.95,0.02,2,59
Doc60,0.95,0.02,0.02,0.02,0,60
Doc61,0.02,0.02,0.94,0.02,2,61
Doc62,0.02,0.02,0.95,0.02,2,62
Doc63,0.95,0.02,0.02,0.02,0,63
Doc64,0.95,0.02,0.02,0.02,0,64
Doc65,0.5,0.01,0.47,0.01,0,65
Doc66,0.13,0.02,0.83,0.02,2,66
Doc67,0.02,0.02,0.94,0.02,2,67
Doc68,0.02,0.01,0.95,0.01,2,68
Doc69,0.96,0.01,0.01,0.01,0,69
Doc70,0.96,0.01,0.01,0.01,0,70
Doc71,0.94,0.02,0.02,0.02,0,71
Doc72,0.96,0.01,0.01,0.01,0,72
Doc73,0.43,0.01,0.55,0.01,2,73
Doc74,0.02,0.02,0.95,0.02,2,74
Doc75,0.96,0.01,0.01,0.01,0,75
Doc76,0.02,0.02,0.94,0.02,2,76
Doc77,0.02,0.02,0.95,0.02,2,77
Doc78,0.95,0.02,0.02,0.02,0,78
Doc79,0.95,0.02,0.02,0.02,0,79
Doc80,0.87,0.08,0.02,0.02,0,80
Doc81,0.02,0.02,0.95,0.02,2,81
Doc82,0.02,0.02,0.95,0.02,2,82
Doc83,0.24,0.02,0.73,0.02,2,83
Doc84,0.02,0.01,0.96,0.01,2,84
Doc85,0.34,0.02,0.63,0.02,2,85
Doc86,0.02,0.02,0.95,0.02,2,86
Doc87,0.93,0.02,0.03,0.02,0,87
Doc88,0.39,0.01,0.58,0.01,2,88
Doc89,0.96,0.01,0.01,0.01,0,89
Doc90,0.02,0.01,0.96,0.01,2,90
Doc91,0.02,0.01,0.95,0.01,2,91
Doc92,0.96,0.01,0.01,0.01,0,92
Doc93,0.96,0.01,0.01,0.01,0,93
Doc94,0.02,0.02,0.95,0.02,2,94
Doc95,0.94,0.02,0.02,0.02,0,95
Doc96,0.27,0.01,0.7,0.01,2,96
Doc97,0.03,0.01,0.95,0.01,2,97
Doc98,0.02,0.02,0.95,0.02,2,98
Doc99,0.93,0.01,0.04,0.01,0,99
Doc100,0.96,0.01,0.02,0.01,0,100
Doc101,0.02,0.01,0.95,0.01,2,101
Doc102,0.96,0.01,0.01,0.01,0,102
Doc103,0.34,0.01,0.63,0.01,2,103
Doc104,0.96,0.01,0.02,0.01,0,104
Doc105,0.01,0.01,0.96,0.01,2,105
Doc106,0.02,0.02,0.95,0.02,2,106
Doc107,0.02,0.01,0.96,0.01,2,107
Doc108,0.02,0.02,0.94,0.02,2,108
Doc109,0.96,0.01,0.01,0.01,0,109
Doc110,0.95,0.02,0.02,0.02,0,110
Doc111,0.95,0.01,0.02,0.01,0,111
Doc112,0.01,0.01,0.96,0.01,2,112
Doc113,0.02,0.02,0.95,0.02,2,113
Doc114,0.01,0.01,0.96,0.01,2,114
Doc115,0.14,0.01,0.83,0.01,2,115
Doc116,0.02,0.01,0.96,0.01,2,116
Doc117,0.95,0.02,0.02,0.02,0,117
Doc118,0.02,0.02,0.95,0.02,2,118
Doc119,0.95,0.02,0.02,0.02,0,119
Doc120,0.02,0.01,0.96,0.01,2,120
Doc121,0.94,0.02,0.02,0.02,0,121
Doc122,0.94,0.02,0.02,0.02,0,122
Doc123,0.34,0.01,0.63,0.01,2,123
Doc124,0.02,0.02,0.95,0.02,2,124
Doc125,0.02,0.02,0.95,0.02,2,125
Doc126,0.95,0.02,0.02,0.02,0,126
Doc127,0.36,0.02,0.61,0.02,2,127
Doc128,0.54,0.01,0.44,0.01,0,128
Doc129,0.94,0.02,0.02,0.02,0,129
Doc130,0.95,0.02,0.02,0.02,0,130
Doc131,0.25,0.02,0.71,0.02,2,131
Doc132,0.95,0.02,0.02,0.02,0,132
Doc133,0.52,0.01,0.46,0.01,0,133
Doc134,0.02,0.02,0.93,0.02,2,134
Doc135,0.96,0.01,0.01,0.01,0,135
Doc136,0.96,0.01,0.02,0.01,0,136
Doc137,0.94,0.02,0.02,0.02,0,137
Doc138,0.96,0.01,0.01,0.01,0,138
Doc139,0.95,0.01,0.02,0.01,0,139
Doc140,0.96,0.01,0.02,0.01,0,140
Doc141,0.96,0.01,0.01,0.01,0,141
Doc142,0.02,0.02,0.94,0.02,2,142
Doc143,0.02,0.02,0.94,0.02,2,143
Doc144,0.46,0.01,0.52,0.01,2,144
Doc145,0.93,0.03,0.02,0.02,0,145
Doc146,0.95,0.02,0.02,0.02,0,146
Doc147,0.96,0.01,0.01,0.01,0,147
