,neg_sent,neu_sent,pos_sent
0,0.017,0.799,0.184
1,0.021,0.849,0.13
2,0.026,0.826,0.148
3,0.012,0.876,0.112
4,0.024,0.813,0.162
5,0.021,0.84,0.139
6,0.012,0.846,0.142
7,0.022,0.851,0.127
8,0.018,0.821,0.161
9,0.032,0.795,0.173
10,0.032,0.811,0.157
11,0.025,0.833,0.142
12,0.03,0.821,0.15
13,0.014,0.81,0.176
14,0.022,0.817,0.161
15,0.02,0.848,0.132
16,0.017,0.827,0.156
17,0.007,0.827,0.166
18,0.02,0.855,0.125
19,0.016,0.834,0.149
20,0.028,0.862,0.11
21,0.017,0.816,0.167
22,0.028,0.788,0.184
23,0.024,0.833,0.143
24,0.017,0.821,0.162
25,0.022,0.824,0.154
26,0.018,0.825,0.157
27,0.017,0.833,0.15
28,0.016,0.823,0.161
29,0.021,0.818,0.161
30,0.028,0.838,0.134
31,0.02,0.824,0.156
32,0.021,0.824,0.155
33,0.028,0.814,0.158
34,0.017,0.823,0.16
35,0.026,0.814,0.16
36,0.016,0.841,0.143
37,0.016,0.815,0.169
38,0.024,0.835,0.141
39,0.028,0.836,0.136
40,0.024,0.8,0.175
41,0.02,0.865,0.115
42,0.023,0.85,0.127
43,0.015,0.795,0.191
44,0.032,0.794,0.174
45,0.02,0.839,0.141
46,0.015,0.828,0.157
47,0.016,0.839,0.146
48,0.023,0.833,0.143
49,0.012,0.812,0.176
50,0.01,0.814,0.176
51,0.008,0.818,0.174
52,0.015,0.834,0.15
53,0.021,0.816,0.163
54,0.021,0.801,0.178
55,0.023,0.82,0.157
56,0.013,0.884,0.102
57,0.019,0.87,0.112
58,0.036,0.785,0.18
59,0.02,0.823,0.157
60,0.027,0.829,0.144
61,0.017,0.81,0.173
62,0.012,0.866,0.122
63,0.023,0.876,0.101
64,0.021,0.867,0.112
65,0.015,0.846,0.139
66,0.038,0.813,0.149
67,0.031,0.794,0.174
68,0.019,0.822,0.159
69,0.024,0.844,0.133
70,0.017,0.842,0.141
71,0.012,0.824,0.164
72,0.017,0.864,0.119
73,0.02,0.819,0.161
74,0.015,0.777,0.208
75,0.021,0.809,0.17
76,0.015,0.836,0.149
77,0.029,0.819,0.152
78,0.017,0.858,0.126
79,0.009,0.823,0.167
